Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
Cub McPaws,2021,Mumbai,ar startup,11428.57,Pre Series A,Pre_Series Stage,Startup
Zimyo,2021,Gurgaon,hr tech startup,21428.57,Seed,Seed Stage,Technology
PumPumPum,2021,Gurgaon,automotive startup,5142.86,Debt,Debt Stage,Transportation
Burgerama,2021,Gurgaon,food startup,4710672.330723327,Pre Series A,Pre_Series Stage,Restaurant
Moms Co,2021,Gurgaon,healthcare,114285.71,Series B,Series_Stage,Transportation
DillyHub,2021,Seoul,publication,20000.0,Seed,Seed Stage,Others
FPL Technologies,2021,Pune,fintech,142857.14,Series A,Series_Stage,Technology
FITTR,2021,Pune,fitness startup,28571.43,Pre Series A,Pre_Series Stage,Health
Illumnus,2021,Pune,edtech startup,1428.57,Seed,Seed Stage,Technology
CashKaro,2021,Gurgaon,e-commerce,142857.14,Series B,Series_Stage,Others
Newton School,2021,Bangalore,edtech startup,9285.71,Seed,Seed Stage,Technology
Airmeet,2021,Bangalore,tech startup,171428.57,Series A,Series_Stage,Technology
Observe ai,2021,San Francisco,tech,771428.57,Series B,Series_Stage,Technology
InCred,2021,Mumbai,finance,71428.57,Debt,Debt Stage,Finance
Toppr,2021,Mumbai,edtech,500000.0,Series D,Series_Stage,Technology
CarTrade,2021,Mumbai,car trade,607142.86,Series H,Series_Stage,Transportation
LEAD School,2021,Mumbai,edttech,400000.0,Series C,Series_Stage,Technology
Servify,2021,Mumbai,manufacturing,162428.57,Series C,Series_Stage,Others
Lido Learning,2021,Mumbai,edtech,107142.86,Series B,Series_Stage,Technology
Apna.co,2021,Bangalore,job portal,114285.71,Series A,Series_Stage,Others
Quintype Technologies,2021,Bangalore,tech,4642.86,Series A,Series_Stage,Technology
Dunzo,2021,Bangalore,tech,400000.0,Series E,Series_Stage,Technology
Entropik,2021,Bangalore,ai platform,114285.71,Series A,Series_Stage,Ai
Livspace,2021,Bangalore,home design,128571.43,Series D,Series_Stage,Real estate
Ultraviolette Automotive,2021,Bangalore,automation,5857.14,Series B,Series_Stage,Transportation
WinZO,2021,New Delhi,gaming,257142.86,Series B,Series_Stage,Others
SenseHawk,2021,Bangalore,solar saas,71428.57,Series A,Series_Stage,Saas
Railofy,2021,Mumbai,wl & rac protection,12857.14,Seed,Seed Stage,Others
Eloelo,2021,Bangalore,social commerce,6428.57,Seed,Seed Stage,Social
Aibono,2021,Bangalore,agritech,28571.43,Pre Series A,Pre_Series Stage,Technology
BuildPan,2021,Indore,saas startup,7142.86,Seed,Seed Stage,Saas
Homelane,2021,Bangalore,home interior services,114285.71,Bridge,Later Stage,Real estate
MyGlamm,2021,Mumbai,fashion,14285.71,Series B,Series_Stage,Beauty
Aviom,2021,New Delhi,finance,9742.86,Debt,Debt Stage,Finance
Flinto,2021,Chennai,edtech startup,100000.0,Pre Series B,Others,Technology
WayCool,2021,Chennai,agritech startup,72285.71,Series C,Series_Stage,Technology
YAP,2021,Chennai,api platform,57857.14,Series A,Series_Stage,Others
Big Bang Boom Solutions,2021,Chennai,deep tech,15000.0,Series A,Series_Stage,Technology
GUVI,2021,Chennai,edtech startup,11428.57,Series A,Series_Stage,Technology
BluSmart,2021,Gurugram,electricity,100000.0,Pre Series A,Pre_Series Stage,Others
Cell Propulsion,2021,Bangalore,automotive company,4710672.330723327,Pre Series A,Pre_Series Stage,Transportation
MPL,2021,Bangalore,entertainment,714285.71,Series B,Series_Stage,Social
Spoonshot,2021,Bangalore,fmcg,14285.71,Seed A,Seed Stage,Others
Pulse,2021,Mumbai,fintech,10714.29,Pre Series A,Pre_Series Stage,Technology
Groww,2021,Bangalore,fintech,428571.43,Series C,Series_Stage,Technology
i3 Systems,2021,Mumbai,insurance tech,15000.0,Pre Series A,Pre_Series Stage,Technology
